cname, planted_ha, harvested_ha, production_MT , Yield (MT/Ha), Year
Chililabombwe,"1,609","1,321","3,716",2.31,2012
Chingola,"3,923","3,269","10,393",2.65,2012
Kalulushi,"3,630","3,043","10,409",2.87,2012
Kitwe,"2,795","2,563","7,576",2.71,2012
Luanshya,"4,889","4,342","14,340",2.93,2012
Lufwanyama,"19,240","16,047","47,944",2.49,2012
Masaiti,"21,687","19,782","42,135",1.94,2012
Mpongwe,"28,404","26,741","82,019",2.89,2012
Mufulira,"3,950","3,663","16,868",4.27,2012
Ndola,"5,088","4,294","13,223",2.6,2012
Prov Total,"95,215","85,065","248,624",2.61,2012
Chadiza,"23,894","21,453","51,340",2.15,2012
Chipata,"66,501","63,152","152,824",2.3,2012
Katete,"47,260","42,270","87,050",1.84,2012
Lundazi,"55,269","49,719","103,980",1.88,2012
Mambwe,"6,543","5,647","10,906",1.67,2012
Nyimba,"17,426","10,210","37,336",2.14,2012
Petauke,"60,732","54,159","134,090",2.21,2012
Prov Total,"277,625","246,611","577,525",2.08,2012
Chienge,"5,773","5,467","16,717",2.9,2012
Kawambwa,"13,892","12,597","41,019",2.95,2012
Mansa,"7,611","7,455","23,655",3.11,2012
Milenge,"3,326","3,122","9,421",2.83,2012
Mwense,"4,124","3,821","10,454",2.54,2012
Nchelenge,"5,373","4,557","13,179",2.45,2012
Samfya,"6,727","6,070","14,330",2.13,2012
Prov Total,"46,827","43,090","128,776",2.75,2012
Chongwe,"20,843","19,868","57,752",2.77,2012
Kafue,"13,437","11,785","35,002",2.6,2012
Luangwa,"2,286","1,134","1,147",0.5,2012
Lusaka,369,336,"2,923",7.92,2012
Prov Total,"36,936","33,123","96,823",2.62,2012
Chama,"7,729","5,703","16,859",2.18,2012
Chinsali,"12,225","11,755","42,563",3.48,2012
Isoka,"8,841","8,724","26,084",2.95,2012
Mafinga,"8,484","8,057","32,774",3.86,2012
Mpika,"15,477","14,235","52,513",3.39,2012
Nakonde,"17,388","17,185","56,196",3.23,2012
Prov Total,"70,144","65,659","226,989",3.24,2012
Chilubi,"1,255","1,152","3,282",2.61,2012
Kaputa,"4,925","3,678","6,557",1.33,2012
Kasama,"11,357","10,748","40,303",3.55,2012
Luwingu,"7,721","7,458","27,298",3.54,2012
Mbala,"41,349","40,507","88,480",2.14,2012
Mporokoso,"7,153","6,468","24,965",3.49,2012
Mpulungu,"9,558","9,339","29,349",3.07,2012
Mungwi,"15,258","14,815","51,147",3.35,2012
Prov Total,"98,576","94,165","271,380",2.75,2012
Chavuma,"1,787","1,694","3,403",1.9,2012
Ikelenge,411,391,"1,031",2.51,2012
Kabompo,"9,446","8,996","24,106",2.55,2012
Kasempa,"10,188","9,917","33,920",3.33,2012
Mufumbwe,"10,345","10,089","30,744",2.97,2012
Mwinilunga,"5,732","5,456","18,885",3.29,2012
Solwezi,"22,232","20,174","36,702",1.65,2012
Zambezi,"4,163","3,595","7,284",1.75,2012
Prov Total,"64,305","60,311","156,077",2.43,2012
Choma,"51,431","42,763","110,156",2.14,2012
Gwembe,"5,892","4,088","8,704",1.48,2012
Itezhi-tezhi,"17,340","15,311","39,973",2.31,2012
Kalomo,"90,236","62,569","182,096",2.02,2012
Kazungula,"29,044","24,075","34,838",1.2,2012
Livingstone,557,267,335,0.6,2012
Mazabuka,"26,417","22,249","59,695",2.26,2012
Monze,"38,436","27,361","65,542",1.71,2012
Namwala,"28,944","18,586","41,712",1.44,2012
Siavonga,"8,971","6,254","15,164",1.69,2012
Sinazongwe,"12,289","9,062","14,960",1.22,2012
Prov Total,"309,557","232,584","573,176",1.85,2012
Kalabo,"7,152","2,930","3,790",0.53,2012
Kaoma,"19,129","15,465","33,755",1.76,2012
Lukulu,"8,302","5,131","6,083",0.73,2012
Mongu,"6,648","4,186","5,704",0.86,2012
Senanga,"8,024","5,224","6,610",0.82,2012
Sesheke,"22,077","11,467","14,228",0.64,2012
Shang'ombo,"20,419","13,260","8,933",0.44,2012
Prov Total,"91,751","57,664","79,103",0.86,2012
Chibombo,"75,405","52,995","143,426",1.9,2013
Kabwe,"7,158","5,899","18,639",2.6,2013
Kapiri-Mposhi,"45,744","35,178","117,360",2.57,2013
Mkushi,"25,182","20,973","81,880",3.25,2013
Mumbwa,"48,547","30,370","73,162",1.51,2013
Serenje,"14,965","13,957","44,267",2.96,2013
Prov Total,"217,001","159,371","478,734",2.21,2013
Chililabombwe,"1,408","1,323","2,799",1.99,2013
Chingola,"4,897","4,780","18,603",3.8,2013
Kalulushi,"3,396","2,946","9,720",2.86,2013
Kitwe,"2,646","2,516","6,569",2.48,2013
Luanshya,"3,548","2,977","9,681",2.73,2013
Lufwanyama,"16,076","14,039","39,886",2.48,2013
Masaiti,"18,484","16,754","42,985",2.33,2013
Mpongwe,"23,671","20,412","63,935",2.7,2013
Mufulira,"2,238","2,000","5,728",2.56,2013
Ndola,"3,833","3,324","8,639",2.25,2013
Prov Total,"80,196","71,070","208,544",2.6,2013
Chadiza,"24,901","23,476","50,022",2.01,2013
Chipata,"67,753","59,784","143,272",2.11,2013
Katete,"52,833","47,385","90,022",1.7,2013
Lundazi,"57,974","53,910","123,504",2.13,2013
Mambwe,"7,400","4,752","9,598",1.3,2013
Nyimba,"18,619","17,414","36,066",1.94,2013
Petauke,"67,914","60,505","119,804",1.76,2013
Prov Total,"297,394","267,227","572,289",1.92,2013
Chienge,"4,995","4,209","10,720",2.15,2013
Kawambwa,"9,470","8,811","27,698",2.92,2013
Mansa,"6,131","5,413","15,945",2.6,2013
Milenge,"2,827","2,648","8,047",2.85,2013
Mwense,"2,697","2,439","5,694",2.11,2013
Nchelenge,"5,512","4,909","11,692",2.12,2013
Samfya,"5,485","4,497","14,236",2.6,2013
Prov Total,"37,116","32,927","94,033",2.53,2013
Chongwe,"25,118","20,724","54,263",2.16,2013
Kafue,"16,037","13,840","40,698",2.54,2013
Luangwa,"2,291","1,583","1,601",0.7,2013
Lusaka,222,187,345,1.56,2013
Prov Total,"43,667","36,334","96,907",2.22,2013
Chama,"8,907","8,625","14,750",1.66,2013
Chinsali,"11,484","10,428","40,443",3.52,2013
Isoka,"9,996","8,712","29,203",2.92,2013
Mafinga,"10,359","8,151","31,662",3.06,2013
Mpika,"14,742","13,857","48,010",3.26,2013
Nakonde,"15,577","14,582","41,345",2.65,2013
Prov Total,"71,066","64,356","205,412",2.89,2013
Chilubi,620,577,"1,353",2.18,2013
Kaputa,"4,806","3,676","6,289",1.31,2013
Kasama,"9,304","8,929","29,892",3.21,2013
Luwingu,"6,294","5,584","19,624",3.12,2013
Mbala,"30,523","27,724","78,676",2.58,2013
Mporokoso,"7,422","6,575","18,601",2.51,2013
Mpulungu,"8,482","7,136","15,277",1.8,2013
Mungwi,"12,979","11,837","40,766",3.14,2013
Prov Total,"80,429","72,038","210,479",2.62,2013
Chavuma,"2,067","1,741","5,416",2.62,2013
Ikelenge,592,570,"1,542",2.6,2013
Kabompo,"7,319","6,480","15,101",2.06,2013
Kasempa,"7,935","6,652","22,324",2.81,2013
Mufumbwe,"10,465","9,392","24,492",2.34,2013
Mwinilunga,"7,312","6,924","25,328",3.46,2013
Solwezi,"18,109","14,895","28,193",1.56,2013
Zambezi,"5,399","4,397","10,132",1.88,2013
Prov Total,"59,198","51,052","132,527",2.24,2013
Choma,"50,457","31,534","88,100",1.75,2013
Gwembe,"8,598","4,005","10,360",1.21,2013
Itezhi-tezhi,"17,019","9,029","14,659",0.86,2013
Kalomo,"95,477","67,218","152,434",1.6,2013
Kazungula,"31,712","19,845","31,499",0.99,2013
Livingstone,566,277,288,0.51,2013
Mazabuka,"24,085","14,000","47,863",1.99,2013
Monze,"44,411","26,057","57,942",1.3,2013
Namwala,"36,772","14,277","30,020",0.82,2013
Siavonga,"9,100","3,375","8,031",0.88,2013
Sinazongwe,"12,037","5,970","12,337",1.02,2013
Prov Total,"330,234","195,587","453,532",1.37,2013
Kalabo,"7,742","2,557","3,085",0.4,2013
Kaoma,"24,551","17,581","46,584",1.9,2013
Lukulu,"6,348","3,508","4,911",0.77,2013
Mongu,"8,053","3,222","2,987",0.37,2013
Senanga,"12,881","5,967","6,813",0.53,2013
Sesheke,"13,810","6,112","6,794",0.49,2013
Shang'ombo,"22,717","8,972","9,169",0.4,2013
Prov Total,"96,101","47,918","80,343",0.84,2013
Chibombo,"81,502","71,286","209,535",2.57,2014
Kabwe,"7,265","6,776","20,559",2.83,2014
Kapiri-Mposhi,"67,629","55,988","194,355",2.87,2014
Mkushi,"29,530","26,423","130,617",4.42,2014
Mumbwa,"52,311","41,079","112,100",2.14,2014
Serenje,"18,169","15,887","56,596",3.11,2014
Prov Total,"256,406","217,440","723,761",2.82,2014
Chililabombwe,"1,354","1,165","3,311",2.45,2014
Chingola,"4,230","3,954","12,772",3.02,2014
Kalulushi,"3,945","3,603","12,084",3.06,2014
Kitwe,"3,442","3,330","10,091",2.93,2014
Luanshya,"4,425","3,725","13,354",3.02,2014
Lufwanyama,"17,418","16,152","37,430",2.15,2014
Masaiti,"16,537","14,895","41,175",2.49,2014
Mpongwe,"28,433","26,200","83,737",2.95,2014
Mufulira,"2,525","2,344","9,864",3.91,2014
Ndola,"4,025","3,712","11,598",2.88,2014
Prov Total,"86,334","79,078","235,416",2.73,2014
Chadiza,"25,395","22,957","61,135",2.41,2014
Chipata,"71,610","65,570","176,988",2.47,2014
Katete,"58,787","54,260","115,868",1.97,2014
Lundazi,"74,285","67,279","192,720",2.59,2014
Mambwe,"8,665","6,419","17,354",2,2014
Nyimba,"18,755","15,514","33,223",1.77,2014
Petauke,"75,686","70,978","148,293",1.96,2014
Prov Total,"333,183","302,977","745,580",2.24,2014
Chienge,"5,728","4,697","11,820",2.06,2014
Kawambwa,"12,267","12,165","37,174",3.03,2014
Mansa,"7,669","7,329","26,722",3.48,2014
Milenge,"2,457","2,263","7,255",2.95,2014
Mwense,"4,663","4,589","11,459",2.46,2014
Nchelenge,"6,052","5,344","14,602",2.41,2014
Samfya,"7,108","6,946","22,715",3.2,2014
Prov Total,"45,943","43,334","131,747",2.87,2014
Chongwe,"27,132","23,719","75,552",2.78,2014
Kafue,"18,525","16,546","70,649",3.81,2014
Luangwa,"1,608","1,202","1,799",1.12,2014
Lusaka,112,93,290,2.6,2014
Prov Total,"47,376","41,560","148,291",3.13,2014
Chama,"8,809","8,073","21,850",2.48,2014
Chinsali,"14,691","14,007","49,713",3.38,2014
Isoka,"10,722","10,589","33,947",3.17,2014
Mafinga,"10,236","9,912","33,908",3.31,2014
Mpika,"19,001","17,566","63,118",3.32,2014
Nakonde,"15,436","14,876","42,443",2.75,2014
Prov Total,"78,895","75,022","244,978",3.11,2014
Chilubi,681,650,"1,945",2.86,2014
Kaputa,"6,038","5,247","12,112",2.01,2014
Kasama,"14,091","13,496","54,881",3.89,2014
Luwingu,"6,994","6,832","22,287",3.19,2014
Mbala,"41,765","38,145","97,432",2.33,2014
Mporokoso,"9,529","8,667","25,658",2.69,2014
Mpulungu,"9,002","8,780","23,046",2.56,2014
Mungwi,"13,885","13,037","46,396",3.34,2014
Prov Total,"101,985","94,854","283,756",2.78,2014
Chavuma,"1,887","1,760","4,563",2.42,2014
Ikelenge,908,886,"2,772",3.05,2014
Kabompo,"8,226","7,535","20,291",2.47,2014
Kasempa,"11,124","9,718","32,429",2.92,2014
Mufumbwe,"10,864","9,762","26,372",2.43,2014
Mwinilunga,"6,271","6,134","23,310",3.72,2014
Solwezi,"23,245","20,705","39,259",1.69,2014
Zambezi,"5,599","5,040","11,870",2.12,2014
Prov Total,"68,124","61,541","160,866",2.36,2014
Choma,"45,115","34,309","94,530",2.1,2014
Gwembe,"8,259","5,455","15,644",1.89,2014
Itezhi-tezhi,"15,494","12,497","28,597",1.85,2014
Kalomo,"93,231","66,707","190,177",2.04,2014
Kazungula,"23,148","16,618","31,050",1.34,2014
Livingstone,511,391,790,1.55,2014
Mazabuka,"26,701","24,748","73,303",2.75,2014
Monze,"42,286","37,093","71,207",1.68,2014
Namwala,"33,806","22,328","54,792",1.62,2014
Siavonga,"8,875","4,779","10,688",1.2,2014
Sinazongwe,"14,489","11,048","27,222",1.88,2014
Prov Total,"311,914","235,974","597,999",1.92,2014
Kalabo,"6,892","3,190","3,621",0.53,2014
Kaoma,"23,154","17,635","38,852",1.68,2014
Lukulu,"5,806","3,015","5,305",0.91,2014
Mongu,"7,262","3,889","5,131",0.71,2014
Senanga,"9,053","4,710","4,897",0.54,2014
Sesheke,"22,275","13,197","12,456",0.56,2014
Shang'ombo,"14,724","7,784","8,016",0.54,2014
Prov Total,"89,165","53,420","78,277",0.88,2014
Chibombo,"81,528","50,823","127,329",1.56,2015
Kabwe,"10,206","6,963","23,645",2.32,2015
Kapiri-Mposhi,"75,868","40,277","139,227",1.84,2015
Mkushi,"26,793","20,837","94,242",3.52,2015
Mumbwa,"59,347","32,891","60,167",1.01,2015
Serenje,"19,266","13,018","40,113",2.08,2015
Prov Total,"273,009","164,809","484,723",1.78,2015
Chililabombwe,"1,591","1,357","3,921",2.46,2015
Chingola,"4,069","3,283","9,397",2.31,2015
Kalulushi,"3,191","2,630","7,388",2.32,2015
Kitwe,"3,482","2,560","7,456",2.14,2015
Luanshya,"3,694","2,910","8,290",2.24,2015
Lufwanyama,"23,151","17,363","40,556",1.75,2015
Masaiti,"17,397","11,803","25,663",1.48,2015
Mpongwe,"26,981","24,226","85,047",3.15,2015
Mufulira,"3,053","2,495","11,872",3.89,2015
Ndola,"3,864","3,016","8,219",2.13,2015
Prov Total,"90,473","71,643","207,808",2.3,2015
Chadiza,"25,379","21,825","51,345",2.02,2015
Chipata,"73,850","60,005","126,265",1.71,2015
Katete,"57,159","34,384","64,364",1.13,2015
Lundazi,"68,622","59,880","154,189",2.25,2015
Mambwe,"9,299","6,388","11,068",1.19,2015
Nyimba,"17,076","14,285","22,393",1.31,2015
Petauke,"73,139","57,800","122,175",1.67,2015
Prov Total,"324,523","254,567","551,799",1.7,2015
Chienge,"7,281","4,265","13,706",1.88,2015
Kawambwa,"12,430","10,636","42,061",3.38,2015
Mansa,"10,382","8,781","24,250",2.34,2015
Milenge,"2,917","2,042","5,600",1.92,2015
Mwense,"5,996","4,931","11,788",1.97,2015
Nchelenge,"7,509","6,045","22,063",2.94,2015
Samfya,"7,558","6,620","21,425",2.83,2015
Prov Total,"54,073","43,319","140,892",2.61,2015
Chongwe,"25,882","17,395","49,302",1.9,2015
Kafue,"19,152","14,114","44,412",2.32,2015
Luangwa,"2,356","1,693","2,354",1,2015
Lusaka,118,100,265,2.25,2015
Prov Total,"47,508","33,301","96,333",2.03,2015
Chama,"8,790","6,292","16,782",1.91,2015
Chinsali,"13,944","12,832","51,478",3.69,2015
Isoka,"9,666","8,537","30,328",3.14,2015
Mafinga,"7,861","6,431","30,087",3.83,2015
Mpika,"22,459","18,375","71,257",3.17,2015
Nakonde,"14,677","14,129","45,159",3.08,2015
Prov Total,"77,397","66,596","245,091",3.17,2015
Chilubi,"1,225","1,183","3,565",2.91,2015
Kaputa,"6,606","3,506","11,677",1.77,2015
Kasama,"14,899","13,945","56,813",3.81,2015
Luwingu,"7,370","7,201","27,269",3.7,2015
Mbala,"39,830","37,658","76,145",1.91,2015
Mporokoso,"11,322","10,861","31,090",2.75,2015
Mpulungu,"9,476","9,120","17,161",1.81,2015
Mungwi,"14,569","14,024","52,480",3.6,2015
Prov Total,"105,298","97,499","276,199",2.62,2015
Chavuma,"1,751","1,371","4,431",2.53,2015
Ikelenge,"1,119","1,065","3,482",3.11,2015
Kabompo,"10,263","9,168","29,722",2.9,2015
Kasempa,"13,796","11,637","39,684",2.88,2015
Mufumbwe,"10,046","8,788","26,885",2.68,2015
Mwinilunga,"9,385","8,250","30,703",3.27,2015
Solwezi,"20,622","18,763","41,019",1.99,2015
Zambezi,"6,950","5,784","14,507",2.09,2015
Prov Total,"73,931","64,826","190,433",2.58,2015
Choma,"49,772","25,834","75,635",1.52,2015
Gwembe,"9,927","4,237","14,297",1.44,2015
Itezhi-tezhi,"15,739","5,636","9,236",0.59,2015
Kalomo,"97,518","36,994","106,764",1.09,2015
Kazungula,"32,848","8,990","15,279",0.47,2015
Livingstone,643,51,44,0.07,2015
Mazabuka,"28,275","14,151","51,271",1.81,2015
Monze,"42,946","13,318","43,089",1,2015
Namwala,"36,698","15,161","39,743",1.08,2015
Siavonga,"12,637","5,309","7,891",0.62,2015
Sinazongwe,"17,005","3,620","9,201",0.54,2015
Prov Total,"344,009","133,301","372,450",1.08,2015
Kalabo,"9,295","2,491","2,092",0.23,2015
Kaoma,"25,281","15,915","34,329",1.36,2015
Lukulu,"7,017","3,193","3,380",0.48,2015
Mongu,"8,259","2,326","2,297",0.28,2015
Senanga,"12,016","1,728","2,248",0.19,2015
Sesheke,"23,077","6,826","6,647",0.29,2015
Shang'ombo,"19,286","1,478","1,500",0.08,2015
Prov Total,"104,231","33,958","52,494",0.5,2015
Chibombo,"71,007","58,741","173,366",2.44,2016
Kabwe,"9,854","8,668","24,648",2.5,2016
Kapiri Mposhi,"69,695","65,707","192,143",2.76,2016
Mkushi,"23,700","20,766","88,195",3.72,2016
Mumbwa,"56,301","47,566","121,775",2.16,2016
Serenje,"17,377","16,260","47,986",2.76,2016
Prov Total,"247,934","217,708","648,114",2.61,2016
Chililabombwe,"1,009",998,"2,676",2.65,2016
Chingola,"3,382","3,350","10,363",3.06,2016
Kalulushi,"4,482","4,224","12,836",2.86,2016
Kitwe,"2,341","2,195","6,283",2.68,2016
Luanshya,"4,489","4,447","9,845",2.19,2016
Lufwanyama,"16,070","13,504","42,723",2.66,2016
Masaiti,"16,053","15,193","35,912",2.24,2016
Mpongwe,"30,497","29,487","95,622",3.14,2016
Mufulira,"1,946","1,826","6,700",3.44,2016
Ndola,"3,811","3,652","13,767",3.61,2016
Prov Total,"84,081","78,875","236,727",2.82,2016
Chadiza,"21,652","13,568","40,629",1.88,2016
Chipata,"63,168","58,752","121,017",1.92,2016
Katete,"46,852","35,971","54,259",1.16,2016
Lundazi,"57,801","54,383","130,954",2.27,2016
Mambwe,"7,655","5,830","9,508",1.24,2016
Nyimba,"19,553","18,960","32,658",1.67,2016
Petauke,"70,599","66,271","111,895",1.58,2016
Prov Total,"287,281","253,735","500,920",1.74,2016
Chienge,"9,325","8,780","24,668",2.65,2016
Kawambwa,"10,437","9,307","31,433",3.01,2016
Mansa,"8,934","8,556","26,282",2.94,2016
Milenge,"2,967","2,891","7,674",2.59,2016
Mwense,"5,869","5,519","16,517",2.81,2016
Nchelenge,"6,022","5,632","15,558",2.58,2016
Samfya,"7,877","7,669","25,975",3.3,2016
Prov Total,"51,431","48,354","148,109",2.88,2016
Chongwe,"24,899","21,598","65,906",2.65,2016
Kafue,"17,055","16,545","48,509",2.84,2016
Luangwa,"2,511",207,152,0.06,2016
Lusaka,236,228,"1,313",5.56,2016
Prov Total,"44,701","38,578","115,880",2.59,2016
Chama,"9,103","6,884","11,447",1.26,2016
Chinsali,"13,841","12,714","40,873",2.95,2016
Isoka,"11,883","11,069","42,602",3.58,2016
Mafinga,"9,321","7,686","32,264",3.46,2016
Mpika,"20,364","19,395","69,387",3.41,2016
Nakonde,"15,287","14,550","45,972",3.01,2016
Prov Total,"79,800","72,297","242,546",3.04,2016
Chilubi,"1,325","1,232","2,969",2.24,2016
Kaputa,"7,334","7,242","18,697",2.55,2016
Kasama,"12,729","11,333","35,060",2.75,2016
Luwingu,"8,060","7,928","26,099",3.24,2016
Mbala,"39,642","38,868","80,039",2.02,2016
Mporokoso,"9,768","9,595","28,346",2.9,2016
Mpulungu,"8,956","8,472","25,408",2.84,2016
Mungwi,"13,784","13,359","48,104",3.49,2016
Prov Total,"101,597","98,030","264,723",2.61,2016
Chavuma,"1,953","1,915","5,482",2.81,2016
Ikelenge,"1,171","1,091","2,954",2.52,2016
Kabompo,"9,474","8,862","29,708",3.14,2016
Kasempa,"12,535","11,752","35,184",2.81,2016
Mufumbwe,"10,534","9,942","29,706",2.82,2016
Mwinilunga,"8,823","8,543","31,905",3.62,2016
Solwezi,"21,982","19,283","32,933",1.5,2016
Zambezi,"6,946","6,100","11,983",1.73,2016
Prov Total,"73,419","67,489","179,855",2.45,2016
Choma,"42,965","30,596","73,643",1.71,2016
Gwembe,"7,031","5,037","13,694",1.95,2016
Itezhi Tezhi,"13,626","11,994","16,677",1.22,2016
Kalomo,"96,544","73,635","148,391",1.54,2016
Kazungula,"29,245","20,646","29,359",1,2016
Livingstone,427,217,117,0.27,2016
Mazabuka,"20,224","14,907","43,869",2.17,2016
Monze,"34,213","23,335","48,881",1.43,2016
Namwala,"32,113","17,274","43,006",1.34,2016
Siavonga,"12,731","7,479","15,102",1.19,2016
Sinazongwe,"12,652","7,996","15,448",1.22,2016
Prov Total,"301,771","213,116","448,187",1.49,2016
Kalabo,"8,425","3,723","3,197",0.38,2016
Kaoma,"23,506","20,694","45,414",1.93,2016
Lukulu,"7,784","4,966","8,717",1.12,2016
Mongu,"6,774","4,450","6,255",0.92,2016
Senanga,"11,175","7,941","6,804",0.61,2016
Sesheke,"24,067","20,665","12,492",0.52,2016
Shang'ombo,"11,232","7,133","5,112",0.46,2016
Prov Total,"92,963","69,573","87,991",0.95,2016
Chibombo,"94,121","75,930","182,747",1.94,2017
Kabwe,"8,912","8,402","27,956",3.14,2017
Kapiri-Mposhi,"82,936","75,226","212,550",2.56,2017
Mkushi,"29,423","27,711","96,131",3.27,2017
Mumbwa,"61,196","49,489","111,279",1.82,2017
Serenje,"22,195","18,822","54,038",2.43,2017
Prov Total,"298,785","255,580","684,699",2.29,2017
Chililabombwe,"1,364","1,127","2,790",2.05,2017
Chingola,"4,135","3,406","10,599",2.56,2017
Kalulushi,"3,901","3,806","10,818",2.77,2017
Kitwe,"2,862","2,795","7,048",2.46,2017
Luanshya,"3,086","2,762","7,736",2.51,2017
Lufwanyama,"20,249","17,557","47,176",2.33,2017
Masaiti,"21,052","19,477","43,060",2.05,2017
Mpongwe,"29,310","28,542","106,592",3.64,2017
Mufulira,"2,193","1,735","6,195",2.82,2017
Ndola,"2,859","2,571","6,781",2.37,2017
Prov Total,"91,012","83,778","248,795",2.73,2017
Chadiza,"26,702","26,565","76,979",2.88,2017
Chipata,"89,178","84,846","193,549",2.17,2017
Katete,"64,419","62,759","112,938",1.75,2017
Lundazi,"90,770","84,361","296,474",3.27,2017
Mambwe,"10,933","9,887","18,900",1.73,2017
Nyimba,"27,126","24,158","48,858",1.8,2017
Petauke,"81,680","77,578","133,715",1.64,2017
Prov Total,"390,807","370,153","881,413",2.26,2017
Chienge,"7,035","5,142","12,916",1.84,2017
Kawambwa,"8,829","8,398","26,992",3.06,2017
Mansa,"8,972","7,681","23,148",2.58,2017
Milenge,"4,358","3,978","13,351",3.06,2017
Mwense,"7,594","7,127","19,312",2.54,2017
Nchelenge,"5,293","4,975","11,712",2.21,2017
Samfya,"5,544","4,698","17,259",3.11,2017
Prov Total,"47,624","42,000","124,691",2.62,2017
Chongwe,"33,067","27,834","85,132",2.57,2017
Kafue,"20,034","17,541","54,319",2.71,2017
Luangwa,"2,550","1,030",871,0.34,2017
